reference_id,date,time_of_day,time_of_day_recode,incident_type,incident_action,territorial_water_status,closest_coastal_state,closest_coastal_state_cow_code,latitude,longitude,location_precision,geolocation_source_imb,geolocation_source_imo,geolocation_source_asam,location_description,vessel_name,vessel_country,vessel_country_cow_code,vessel_status,violence_dummy,steaming_recode,incident_type_recode,incident_action_recode
"1","1/2/1993","22:25","3",,,"Taiwan","Taiwan","713","19.7","116.9667","1","1",".",".","Hong Kong - Luzon - Hainan","Mv Cosmic Leader","Philippines","840","Unspecified",,"-99","-99","-99"
"2","1/4/1993","1:45","4",,,"China","China","710","22.35","116","1","1",".",".","Hong Kong - Luzon - Hainan","Mv Tricolor Star III","Panama","95","Unspecified",,"-99","-99","-99"
"3","1/6/1993",,"-99",,,"Taiwan","Taiwan","713","19.67","115.25","5","1",".",".","Hong Kong - Luzon - Hainan","Mv Arktis Star","Denmark","390","Unspecified",,"-99","-99","-99"
"4","1/6/1993",,"-99",,,"Algeria","Algeria","615","36.6715",,"5","1",".",".","Yellow Sea","Peiozyornyy","Russia","365","Unspecified",,"-99","-99","-99"
"5","1/8/1993","5:00","4",,,"China","China","710","29.9","124.5833","1","1",".",".","East China Sea","Ussurijsk","Russia","365","Unspecified",,"-99","-99","-99"
"6","1/12/1993","6:00","4",,,"Philippines","Philippines","840","18.1333333","120.2667","1","1",".",".","Hong Kong - Luzon - Hainan","Mv Chennai Nermai","India","750","Unspecified",,"-99","-99","-99"
"7","1/13/1993","4:30","4",,,"Cambodia","Cambodia","811","9.7173","101.85","4","1",".",".","Gulf of Thailand. South China Sea","Emelyan Yaroslavskiy","Russia","365","Unspecified",,"-99","-99","-99"
"8","1/25/1993",,"-99",,,"Vietnam","Vietnam","816","8.5666667","106.8667","1","1",".",".","South China Sea","Mv Indira Ghandhi","Russia","365","Unspecified",,"-99","-99","-99"
"9","1/26/1993","16:45","2",,,"China","China","710","29","123.5","1","1",".",".","East China Sea","Mt Petrobulk Panther","Belgium","211","Unspecified",,"-99","-99","-99"
"11","1/26/1993","0:35","4",,,"Angola","Angola","540","-8.8","13.25","2","1",".",".","Luanda, Angola","Mv Bodrog","Hungary","310","Anchored",,"2","-99","-99"
