id,date_occurred,time_of_day,time_of_day_recode,incident_type,incident_action,territorial_water_status,closest_coastal_state,closest_coastal_state_cow_code,latitude,longitude,location_precision,geolocation_source_imb,geolocation_source_imo,geolocation_source_asam,location_description,vessel_name,vessel_country,vessel_country_cow_code,vessel_status,violence_dummy,steaming_recode,incident_type_recode,incident_action_recode,,
,11/30/92,,-99,,,China,China,710,22.23333333,113.5833333,4,1,,0,"Zhuhai, China. Hong Kong - Luzon - Hainan",Mv Universal Admiral,Russia,365,Unspecified,,-99,-99,-99,,
,1/2/93,10:25:00 PM,3,,,Taiwan,Taiwan,713,19.7,116.9666667,1,1,,0,Hong Kong - Luzon - Hainan,Mv Cosmic Leader,Philippines,840,Unspecified,,-99,-99,-99,,
,1/4/93,1:45:00 AM,4,,,China,China,710,22.35,116,1,1,,0,Hong Kong - Luzon - Hainan,Mv Tricolor Star III,Panama,95,Unspecified,,-99,-99,-99,,
,1/6/93,,-99,,,Algeria,Algeria,615,36.6715,0,5,1,,0,Yellow Sea,Peiozyornyy,Russia,365,Unspecified,,-99,-99,-99,,
,1/6/93,,-99,,,Taiwan,Taiwan,713,19.67,115.25,5,1,,0,Hong Kong - Luzon - Hainan,Mv Arktis Star,Denmark,390,Unspecified,,-99,-99,-99,,
,1/8/93,5:00:00 AM,4,,,China,China,710,29.9,124.5833333,1,1,,0,East China Sea,Ussurijsk,Russia,365,Unspecified,,-99,-99,-99,,
,1/12/93,6:00:00 AM,4,,,Philippines,Philippines,840,18.1333333,120.2666667,1,1,,0,Hong Kong - Luzon - Hainan,Mv Chennai Nermai,India,750,Unspecified,,-99,-99,-99,,
,1/13/93,4:30:00 AM,4,,,Cambodia,Cambodia,811,9.7173,101.85,4,1,,0,Gulf of Thailand. South China Sea,Emelyan Yaroslavskiy,Russia,365,Unspecified,,-99,-99,-99,,
,1/25/93,,-99,,,Vietnam,Vietnam,816,8.5666667,106.8666667,1,1,,0,South China Sea,Mv Indira Ghandhi,Russia,365,Unspecified,,-99,-99,-99,,
,1/26/93,12:35:00 AM,4,,,Angola,Angola,540,-8.8,13.25,2,1,,0,"Luanda, Angola",Mv Bodrog,Hungary,310,Anchored,,2,-99,-99,,
,1/26/93,4:45:00 PM,2,,,China,China,710,29,123.5,1,1,,0,East China Sea,Mt Petrobulk Panther,Belgium,211,Unspecified,,-99,-99,-99,,
,1/26/93,8:30:00 PM,3,,,Philippines,Philippines,840,4.4333333,119.4,1,1,,0,South China Sea,Mv Southern King,Panama,95,Unspecified,,-99,-99,-99,,
,1/27/93,12:35:00 AM,4,,,Angola,Angola,540,-8.8,13.25,4,1,,0,"Port of Luanda, Angola",,,,Unspecified,,-99,-99,-99,,
,2/4/93,2:00:00 PM,2,,,China,China,710,25.75,123.1666667,1,1,,0,East China Sea,Sukhinichi,Russia,365,Unspecified,,-99,-99,-99,,
,2/5/93,2:10:00 AM,4,,,Nigeria,Nigeria,475,5.0016667,7.2266667,2,1,,0,"Bonny Anchorage, Nigeria",Mv Norgas Navigator,Norway,385,Anchored,,2,-99,-99,,
,2/6/93,7:30:00 AM,1,,,Philippines,Philippines,840,16.5833333,118.1666667,1,1,,0,Hong Kong - Luzon - Hainan,Mv Hulpha Kluang,Malaysia,820,Unspecified,,-99,-99,-99,,
,2/15/93,10:00:00 PM,3,,,China,China,710,38.6974,121.2995,3,1,,0,7.4 miles SE of Waglan. South China Sea,Mv Marine Peace,Panama,95,Unspecified,,-99,-99,-99,,
,2/16/93,3:30:00 AM,4,,,Tanzania,Tanzania,510,-6.775,39.3533333,2,1,,0,"Dar-Es-Salam Anchor, Tanzania",Mv Socol 5,Panama,95,Unspecified,,-99,-99,-99,,
,2/16/93,3:30:00 AM,4,,,Tanzania,Tanzania,510,-6.775,39.3533333,4,1,,0,"Dar-Es-Salam Roads, Tanzania",,,,Unspecified,,-99,-99,-99,,
,2/16/93,4:03:00 AM,4,,,China,China,710,17.3333333,111.0333333,1,1,,0,Hong Kong - Luzon - Hainan,Mv Mary Nour,Panama,95,Unspecified,,-99,-99,-99,,
,2/16/93,4:00:00 PM,2,,,Philippines,Philippines,840,19.3166667,118.7166667,1,1,,0,Hong Kong - Luzon - Hainan,Mv Lion,Denmark,390,Unspecified,,-99,-99,-99,,
,2/16/93,8:20:00 PM,3,,,China,China,710,15.7833333,111.2,1,1,,0,,Mt Samuel L. Cobb,USA,2,Unspecified,,-99,-99,-99,,
,2/18/93,,-99,,,Taiwan,Taiwan,713,19.67,115.25,4,1,,0,Western Luzon. Hong Kong - Luzon - Hainan,Mv Aleksandr Tsyurupa,Russia,365,Unspecified,,-99,-99,-99,,
,2/25/93,6:50:00 PM,3,,,South Korea,South Korea,732,36.2,124.4333333,1,1,,0,East China Sea,Mv Komsomolets,Russia,365,Unspecified,,-99,-99,-99,,
,2/25/93,7:45:00 PM,3,,,Vietnam,Vietnam,816,8.5166667,104.4,1,1,,0,South China Sea,Mv Great Amity,Panama,95,Unspecified,,-99,-99,-99,,
,2/28/93,4:45:00 PM,2,,,Pakistan,Pakistan,770,24.7847,67.1457,2,1,,0,"Base Creek, Anchor. Arabian Sea",Mv Alam Sempurna,Malaysia,820,Anchored,,2,-99,-99,,
,3/1/93,12:45:00 PM,2,,,Somalia,Somalia,520,8.9333333,50.5833333,1,1,,0,Somalia,Somalian Glory,Malta,338,Unspecified,,-99,-99,-99,,
,3/3/93,3:15:00 PM,2,,,China,China,710,25.4333333,120.4666667,1,1,,0,Taiwan Sea,Mv Tulsidas,India,750,Unspecified,,-99,-99,-99,,
,3/5/93,10:25:00 PM,3,,,Philippines,Philippines,840,17.6,120.0666667,1,1,,0,Hong Kong - Luzon - Hainan,Mv Zirje,Yugoslavia,345,Unspecified,,-99,-99,-99,,
,3/6/93,5:00:00 AM,4,,,Indonesia,Indonesia,850,3.8,98.7166667,1,1,,0,Straits of Malacca-Indonesia,Mv Kavo Sidero,Greece,350,Unspecified,,-99,-99,-99,,
,3/19/93,8:00:00 PM,3,,,China,China,710,37.2833333,122.7666667,1,1,,0,East China Sea,Mv Sibirskiy 2114,Russia,365,Unspecified,,-99,-99,-99,,
,3/21/93,2:00:00 PM,2,,,Vietnam,Vietnam,816,15,109.5,1,1,,0,South China Sea,Mt Suci,Malaysia,820,Unspecified,,-99,-99,-99,,
,3/21/93,,-99,,,Taiwan,Taiwan,713,19.67,115.25,4,1,,0,SW of Hong Kong. Hong Kong - Luzon - Hainan,M69204Y,Hong Kong,710,Unspecified,,-99,-99,-99,,
,3/23/93,1:25:00 AM,4,,,Indonesia,Indonesia,850,3.8166667,105.85,1,1,,0,South China Sea,Mv Kurama,Panama,95,Unspecified,,-99,-99,-99,,
,3/23/93,2:15:00 PM,2,,,China,China,710,26.75,124.3333333,1,1,,0,East China Sea,Mv Vsip Pyatnitskiy,Russia,365,Unspecified,,-99,-99,-99,,
,3/24/93,4:10:00 AM,4,,,Brazil,Brazil,140,-22.8933333,-43.1666667,2,1,,0,"Anchorage, Rio de Janeiro, Brazil",Mv Santos Express,Bahamas,31,Anchored,,2,-99,-99,,
,4/2/93,10:20:00 AM,1,,,China,China,710,38.7931,121.7766,3,1,,0,30 miles East of Waglan. Hong Kong - Luzon - Hainan,Mv Bunga Terasek,Malaysia,820,Unspecified,,-99,-99,-99,,
,4/4/93,5:35:00 AM,4,,,Japan,Japan,740,22.7333333,123.8,1,1,,0,Hong Kong - Luzon - Hainan,Mv Pernas Proton,Malaysia,820,Unspecified,,-99,-99,-99,,
,4/4/93,3:00:00 PM,2,,,China,China,710,22.3333333,115.6666667,1,1,,0,Hong Kong - Luzon - Hainan,Mv Birlad,Romania,360,Unspecified,,-99,-99,-99,,
,4/8/93,4:22:00 AM,4,,,Vietnam,Vietnam,816,12.5166667,111.4166667,1,1,,0,South China Sea,Mv NL Trader,Hong Kong,710,Unspecified,,-99,-99,-99,,
,4/13/93,1:30:00 AM,4,,,Taiwan,Taiwan,713,19.67,115.25,4,1,,0,Hong Kong Harbour. Hong Kong - Luzon - Hainan,MV Baltimar Neptune,Denmark,390,Unspecified,,-99,-99,-99,,
,4/17/93,8:00:00 PM,3,,,China,China,710,17.6333333,115.6166667,1,1,,0,Hong Kong - Luzon - Hainan,MV Sun Kung No. 8,Hong Kong,710,Unspecified,,-99,-99,-99,,
,4/22/93,4:00:00 PM,2,,,Taiwan,Taiwan,713,19.4,116.0833333,1,1,,0,Hong Kong - Luzon - Hainan,MV Salud Ace,Philippines,840,Unspecified,,-99,-99,-99,,
,4/22/93,4:05:00 PM,2,,,Taiwan,Taiwan,713,20.3,117.35,1,1,,0,Hong Kong - Luzon - Hainan,MV OOCL Beacon,Cyprus,352,Unspecified,,-99,-99,-99,,
,4/22/93,11:00:00 PM,3,,,Indonesia,Indonesia,850,3.7766667,98.6766667,2,1,,0,Belawan Port. Straits of Malacca-Indonesia,Mv Magic Lady,Liberia,450,Unspecified,,-99,-99,-99,,
,4/23/93,2:40:00 AM,4,,,Taiwan,Taiwan,713,20.8,117.5,1,1,,0,Hong Kong - Luzon - Hainan,Mv Old Sea Beacon,Russia,365,Unspecified,,-99,-99,-99,,
,4/23/93,4:00:00 AM,4,,,Taiwan,Taiwan,713,21.1666667,116.7833333,1,1,,0,Hong Kong - Luzon - Hainan,Bukhta,Russia,365,Unspecified,,-99,-99,-99,,
,4/29/93,2:55:00 AM,4,,,Japan,Japan,740,28.85,126.0333333,1,1,,0,East China Sea,MT President,Panama,95,Unspecified,,-99,-99,-99,,
,4/29/93,,-99,,,China,China,710,17.926,114.1833,3,1,,0,300 miles South of Hong Kong. Hong Kong - Luzon - Hainan,Mv Zhongshan,Singapore,830,Unspecified,,-99,-99,-99,,
,5/2/93,11:35:00 PM,3,,,South Korea,South Korea,732,35.2333333,124.95,1,1,,0,East China Sea,Mv Konstantin,Russia,365,Unspecified,,-99,-99,-99,,
,5/3/93,1:00:00 PM,2,,,Philippines,Philippines,840,17.3,120.05,1,1,,0,South China Sea,,Denmark,390,Unspecified,,-99,-99,-99,,
